raca,genero,n_imgs,mean_impostor_sim,FMR@global
Southeast Asian,Female,680,0.12491381168365479,0.006134047720387572
East Asian,Female,773,0.12351604551076889,0.005581139253178496
Indian,Female,763,0.1254357397556305,0.005231801341744268
Latino_Hispanic,Female,830,0.11897450685501099,0.004680733899026307
East Asian,Male,777,0.09628447890281677,0.004382230680623028
Black,Female,757,0.10961869359016418,0.003929617300327886
Middle Eastern,Female,396,0.10300108790397644,0.0025809361531522503
Southeast Asian,Male,735,0.09500361979007721,0.0025037556334501754
Black,Male,799,0.07237190008163452,0.001602002503128911
Latino_Hispanic,Male,793,0.0756927952170372,0.0015019525382997897
White,Female,963,0.08859357237815857,0.0015013512160944851
Indian,Male,753,0.07781278342008591,0.0014266049305468652
White,Male,1122,0.05950557440519333,0.0011260134120708637
Middle Eastern,Male,813,0.06672658771276474,0.0010512878275887962
